gene_id	gene_biotype
ENSSSCG00000001219	protein_coding
ENSSSCG00000001229	protein_coding
ENSSSCG00000001232	protein_coding
ENSSSCG00000001233	protein_coding
ENSSSCG00000001234	protein_coding
ENSSSCG00000001235	protein_coding
ENSSSCG00000001236	protein_coding
ENSSSCG00000001242	protein_coding
ENSSSCG00000001245	protein_coding
ENSSSCG00000001247	pseudogene
ENSSSCG00000001248	protein_coding
ENSSSCG00000001252	protein_coding
ENSSSCG00000001253	protein_coding
ENSSSCG00000001254	protein_coding
ENSSSCG00000001256	pseudogene
ENSSSCG00000001297	protein_coding
ENSSSCG00000001304	protein_coding
ENSSSCG00000001341	protein_coding
ENSSSCG00000001342	protein_coding
ENSSSCG00000001346	protein_coding
ENSSSCG00000001347	protein_coding
ENSSSCG00000001362	protein_coding
ENSSSCG00000001372	protein_coding
ENSSSCG00000001376	protein_coding
ENSSSCG00000001379	protein_coding
ENSSSCG00000001382	protein_coding
ENSSSCG00000001384	protein_coding
ENSSSCG00000001388	protein_coding
ENSSSCG00000001391	protein_coding
ENSSSCG00000001392	protein_coding
ENSSSCG00000001393	protein_coding
ENSSSCG00000001394	protein_coding
ENSSSCG00000001395	protein_coding
ENSSSCG00000001396	protein_coding
ENSSSCG00000001398	protein_coding
ENSSSCG00000001400	protein_coding
ENSSSCG00000001401	protein_coding
ENSSSCG00000001402	protein_coding
ENSSSCG00000001403	protein_coding
ENSSSCG00000001404	protein_coding
ENSSSCG00000001407	protein_coding
ENSSSCG00000001409	protein_coding
ENSSSCG00000001410	protein_coding
ENSSSCG00000001411	protein_coding
ENSSSCG00000001413	protein_coding
ENSSSCG00000001414	protein_coding
ENSSSCG00000001416	protein_coding
ENSSSCG00000001418	protein_coding
ENSSSCG00000001419	protein_coding
ENSSSCG00000001420	protein_coding
ENSSSCG00000001421	protein_coding
ENSSSCG00000001422	protein_coding
ENSSSCG00000001423	protein_coding
ENSSSCG00000001424	protein_coding
ENSSSCG00000001425	protein_coding
ENSSSCG00000001426	protein_coding
ENSSSCG00000001427	protein_coding
ENSSSCG00000001428	protein_coding
ENSSSCG00000001430	protein_coding
ENSSSCG00000001431	protein_coding
ENSSSCG00000001433	protein_coding
ENSSSCG00000001434	protein_coding
ENSSSCG00000001435	protein_coding
ENSSSCG00000001436	protein_coding
ENSSSCG00000001437	protein_coding
ENSSSCG00000001438	protein_coding
ENSSSCG00000001439	protein_coding
ENSSSCG00000001440	protein_coding
ENSSSCG00000001441	protein_coding
ENSSSCG00000001444	protein_coding
ENSSSCG00000001447	protein_coding
ENSSSCG00000001453	protein_coding
ENSSSCG00000001455	protein_coding
ENSSSCG00000001456	protein_coding
ENSSSCG00000001457	protein_coding
ENSSSCG00000001458	protein_coding
ENSSSCG00000001459	protein_coding
ENSSSCG00000001463	protein_coding
ENSSSCG00000001469	protein_coding
ENSSSCG00000001470	protein_coding
ENSSSCG00000001471	protein_coding
ENSSSCG00000001472	protein_coding
ENSSSCG00000001473	protein_coding
ENSSSCG00000001474	protein_coding
ENSSSCG00000001475	protein_coding
ENSSSCG00000001476	protein_coding
ENSSSCG00000001477	protein_coding
ENSSSCG00000001478	protein_coding
ENSSSCG00000001479	protein_coding
ENSSSCG00000001480	protein_coding
ENSSSCG00000001481	protein_coding
ENSSSCG00000001483	protein_coding
ENSSSCG00000001484	protein_coding
ENSSSCG00000001485	protein_coding
ENSSSCG00000001486	protein_coding
ENSSSCG00000001487	protein_coding
ENSSSCG00000001488	protein_coding
ENSSSCG00000001490	protein_coding
ENSSSCG00000001493	protein_coding
ENSSSCG00000001497	protein_coding
